"pair_id","dataset_id","geometry_family","repetition","chart_dim_rule","response_seed_match","fold_seed_match","full_status","screened_status","pair_status","pair_complete","pair_exclusion_reason","truth_rmse_full","truth_rmse_screened","delta_truth_rmse","cv_rmse_full","cv_rmse_screened","delta_cv_rmse","elapsed_full","elapsed_screened","elapsed_ratio_screened_full","support_full","support_screened","lambda_full","lambda_screened","full_candidate_key","screened_candidate_key","screened_evaluated_candidate_keys","screened_evaluated_supports","full_support_in_screened_evaluated_supports","full_candidate_key_in_screened_evaluated_candidates","support_match","lambda_match","full_candidates_evaluated","screened_candidates_evaluated","candidate_key_matching_available"
"LA_D1_RAW_N500__r01__auto","LA-D1-RAW-N500","VALENCIA depth-1 dCST",1,"auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0249649866413627,0.0249649866413627,0,0.107529178361741,0.107529178361741,0,39.809,10.85,0.272551433093019,25,25,10,10,"25|2|tricube","25|2|tricube","15|2|tricube;16|2|tricube;17|2|tricube;18|2|tricube;19|2|tricube;20|2|tricube;21|2|tricube;22|2|tricube;23|2|tricube;24|2|tricube;25|2|tricube;26|2|tricube;27|2|tricube;28|2|tricube;29|2|tricube;30|2|tricube;31|2|tricube;32|2|tricube;33|2|tricube;34|2|tricube;35|2|tricube","15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",TRUE,TRUE,TRUE,TRUE,21,21,TRUE
"SYN_TWO_PLANES_N600__r03__local_auto","SYN-TWO-PLANES-N600","synthetic singular sheet union",3,"local.auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"SYN_SIMPLEX_FACES_N600__r01__auto","SYN-SIMPLEX-FACES-N600","synthetic compositional strata",1,"auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"SYN_SIMPLEX_FACES_N600__r01__local_auto","SYN-SIMPLEX-FACES-N600","synthetic compositional strata",1,"local.auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"SYN_SIMPLEX_FACES_N600__r02__auto","SYN-SIMPLEX-FACES-N600","synthetic compositional strata",2,"auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"SYN_SIMPLEX_FACES_N600__r02__local_auto","SYN-SIMPLEX-FACES-N600","synthetic compositional strata",2,"local.auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"SYN_SIMPLEX_FACES_N600__r03__auto","SYN-SIMPLEX-FACES-N600","synthetic compositional strata",3,"auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"SYN_SIMPLEX_FACES_N600__r03__local_auto","SYN-SIMPLEX-FACES-N600","synthetic compositional strata",3,"local.auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"SYN_RANK_BLOCKS_N600_P100__r01__auto","SYN-RANK-BLOCKS-N600-P100","synthetic high-dimensional rank strata",1,"auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"SYN_RANK_BLOCKS_N600_P100__r01__local_auto","SYN-RANK-BLOCKS-N600-P100","synthetic high-dimensional rank strata",1,"local.auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"SYN_RANK_BLOCKS_N600_P100__r02__auto","SYN-RANK-BLOCKS-N600-P100","synthetic high-dimensional rank strata",2,"auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"SYN_RANK_BLOCKS_N600_P100__r02__local_auto","SYN-RANK-BLOCKS-N600-P100","synthetic high-dimensional rank strata",2,"local.auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"SYN_RANK_BLOCKS_N600_P100__r03__auto","SYN-RANK-BLOCKS-N600-P100","synthetic high-dimensional rank strata",3,"auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"SYN_RANK_BLOCKS_N600_P100__r03__local_auto","SYN-RANK-BLOCKS-N600-P100","synthetic high-dimensional rank strata",3,"local.auto",TRUE,TRUE,"not_started","not_started","incomplete",FALSE,"full=not_started; screened=not_started",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
